"No.","Time","Source","Destination","Protocol","Length","Info"
"1","11:47:19.402128054","10.10.5.11","10.10.5.10","TCP","5108","49205  >  1291 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=5054"
"2","11:47:19.402178449","10.10.5.10","10.10.5.11","TCP","54","1291  >  49205 [ACK] Seq=1 Ack=5055 Win=501 Len=0"
"3","11:47:19.402368140","10.10.5.10","10.10.5.11","TCP","69","1291  >  49205 [PSH, ACK] Seq=1 Ack=5055 Win=501 Len=15"
"4","11:47:19.588838030","10.10.5.11","10.10.5.10","TCP","60","49205  >  1291 [ACK] Seq=5055 Ack=16 Win=256 Len=0"
"5","11:47:20.521817004","10.10.5.14","10.10.5.10","TCP","4697","49195  >  1294 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=4643"
"6","11:47:20.521852698","10.10.5.10","10.10.5.14","TCP","54","1294  >  49195 [ACK] Seq=1 Ack=4644 Win=481 Len=0"
"7","11:47:20.522093498","10.10.5.10","10.10.5.14","TCP","69","1294  >  49195 [PSH, ACK] Seq=1 Ack=4644 Win=501 Len=15"
"8","11:47:20.719917169","10.10.5.14","10.10.5.10","TCP","60","49195  >  1294 [ACK] Seq=4644 Ack=16 Win=256 Len=0"
"9","11:47:20.736925051","10.10.5.12","10.10.5.10","TCP","4542","49204  >  1292 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=4488"
"10","11:47:20.736953819","10.10.5.10","10.10.5.12","TCP","54","1292  >  49204 [ACK] Seq=1 Ack=4489 Win=484 Len=0"
"11","11:47:20.737179273","10.10.5.10","10.10.5.12","TCP","69","1292  >  49204 [PSH, ACK] Seq=1 Ack=4489 Win=501 Len=15"
"12","11:47:20.929634514","10.10.5.12","10.10.5.10","TCP","60","49204  >  1292 [ACK] Seq=4489 Ack=16 Win=256 Len=0"
"13","11:47:23.928583356","PcsCompu_60:73:28","PcsCompu_df:63:fa","ARP","60","Who has 10.10.5.10? Tell 10.10.5.11"
"14","11:47:23.928597716","PcsCompu_df:63:fa","PcsCompu_60:73:28","ARP","42","10.10.5.10 is at 08:00:27:df:63:fa"
"15","11:47:26.214081489","10.10.5.13","10.10.5.10","TCP","4626","49196  >  1293 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=4572"
"16","11:47:26.214140936","10.10.5.10","10.10.5.13","TCP","54","1293  >  49196 [ACK] Seq=1 Ack=4573 Win=484 Len=0"
"17","11:47:26.214335192","10.10.5.10","10.10.5.13","TCP","69","1293  >  49196 [PSH, ACK] Seq=1 Ack=4573 Win=501 Len=15"
"18","11:47:26.406154697","10.10.5.13","10.10.5.10","TCP","60","49196  >  1293 [ACK] Seq=4573 Ack=16 Win=256 Len=0"
"19","11:47:34.408866631","10.10.5.11","10.10.5.10","TCP","5104","49205  >  1291 [PSH, ACK] Seq=5055 Ack=16 Win=256 Len=5050"
"20","11:47:34.408926858","10.10.5.10","10.10.5.11","TCP","54","1291  >  49205 [ACK] Seq=16 Ack=10105 Win=501 Len=0"
"21","11:47:34.409121890","10.10.5.10","10.10.5.11","TCP","69","1291  >  49205 [PSH, ACK] Seq=16 Ack=10105 Win=501 Len=15"
"22","11:47:34.602553445","10.10.5.11","10.10.5.10","TCP","60","49205  >  1291 [ACK] Seq=10105 Ack=31 Win=256 Len=0"
"23","11:47:35.524289486","10.10.5.14","10.10.5.10","TCP","4697","49195  >  1294 [PSH, ACK] Seq=4644 Ack=16 Win=256 Len=4643"
"24","11:47:35.524322025","10.10.5.10","10.10.5.14","TCP","54","1294  >  49195 [ACK] Seq=16 Ack=9287 Win=481 Len=0"
"25","11:47:35.524618405","10.10.5.10","10.10.5.14","TCP","69","1294  >  49195 [PSH, ACK] Seq=16 Ack=9287 Win=501 Len=15"
"26","11:47:35.720337692","10.10.5.14","10.10.5.10","TCP","60","49195  >  1294 [ACK] Seq=9287 Ack=31 Win=256 Len=0"
"27","11:47:35.744082547","10.10.5.12","10.10.5.10","TCP","4542","49204  >  1292 [PSH, ACK] Seq=4489 Ack=16 Win=256 Len=4488"
"28","11:47:35.744185548","10.10.5.10","10.10.5.12","TCP","54","1292  >  49204 [ACK] Seq=16 Ack=8977 Win=501 Len=0"
"29","11:47:35.744475697","10.10.5.10","10.10.5.12","TCP","69","1292  >  49204 [PSH, ACK] Seq=16 Ack=8977 Win=501 Len=15"
"30","11:47:35.937158742","10.10.5.12","10.10.5.10","TCP","60","49204  >  1292 [ACK] Seq=8977 Ack=31 Win=256 Len=0"
"31","11:47:40.032041861","PcsCompu_90:18:5a","PcsCompu_df:63:fa","ARP","60","Who has 10.10.5.10? Tell 10.10.5.14"
"32","11:47:40.032056827","PcsCompu_df:63:fa","PcsCompu_90:18:5a","ARP","42","10.10.5.10 is at 08:00:27:df:63:fa"
"33","11:47:40.685782097","PcsCompu_03:cb:a5","PcsCompu_df:63:fa","ARP","60","Who has 10.10.5.10? Tell 10.10.5.12"
"34","11:47:40.685796247","PcsCompu_df:63:fa","PcsCompu_03:cb:a5","ARP","42","10.10.5.10 is at 08:00:27:df:63:fa"
"35","11:47:41.220622149","10.10.5.13","10.10.5.10","TCP","4626","49196  >  1293 [PSH, ACK] Seq=4573 Ack=16 Win=256 Len=4572"
"36","11:47:41.220741803","10.10.5.10","10.10.5.13","TCP","54","1293  >  49196 [ACK] Seq=16 Ack=9145 Win=501 Len=0"
"37","11:47:41.220967335","10.10.5.10","10.10.5.13","TCP","69","1293  >  49196 [PSH, ACK] Seq=16 Ack=9145 Win=501 Len=15"
"38","11:47:41.412233054","10.10.5.13","10.10.5.10","TCP","60","49196  >  1293 [ACK] Seq=9145 Ack=31 Win=256 Len=0"
"39","11:47:46.032267057","PcsCompu_c8:46:cd","PcsCompu_df:63:fa","ARP","60","Who has 10.10.5.10? Tell 10.10.5.13"
"40","11:47:46.032284079","PcsCompu_df:63:fa","PcsCompu_c8:46:cd","ARP","42","10.10.5.10 is at 08:00:27:df:63:fa"
"41","11:47:49.416876253","10.10.5.11","10.10.5.10","TCP","5104","49205  >  1291 [PSH, ACK] Seq=10105 Ack=31 Win=256 Len=5050"
"42","11:47:49.416947509","10.10.5.10","10.10.5.11","TCP","54","1291  >  49205 [ACK] Seq=31 Ack=15155 Win=501 Len=0"
"43","11:47:49.417169325","10.10.5.10","10.10.5.11","TCP","69","1291  >  49205 [PSH, ACK] Seq=31 Ack=15155 Win=501 Len=15"
"44","11:47:49.616540653","10.10.5.11","10.10.5.10","TCP","60","49205  >  1291 [ACK] Seq=15155 Ack=46 Win=256 Len=0"
"45","11:47:50.522450388","10.10.5.14","10.10.5.10","TCP","4694","49195  >  1294 [PSH, ACK] Seq=9287 Ack=31 Win=256 Len=4640"
"46","11:47:50.522510656","10.10.5.10","10.10.5.14","TCP","54","1294  >  49195 [ACK] Seq=31 Ack=13927 Win=501 Len=0"
"47","11:47:50.522715140","10.10.5.10","10.10.5.14","TCP","69","1294  >  49195 [PSH, ACK] Seq=31 Ack=13927 Win=501 Len=15"
"48","11:47:50.719210541","10.10.5.14","10.10.5.10","TCP","60","49195  >  1294 [ACK] Seq=13927 Ack=46 Win=256 Len=0"
"49","11:47:50.752489844","10.10.5.12","10.10.5.10","TCP","4542","49204  >  1292 [PSH, ACK] Seq=8977 Ack=31 Win=256 Len=4488"
"50","11:47:50.752542345","10.10.5.10","10.10.5.12","TCP","54","1292  >  49204 [ACK] Seq=31 Ack=13465 Win=501 Len=0"
"51","11:47:50.752741307","10.10.5.10","10.10.5.12","TCP","69","1292  >  49204 [PSH, ACK] Seq=31 Ack=13465 Win=501 Len=15"
"52","11:47:50.945047253","10.10.5.12","10.10.5.10","TCP","60","49204  >  1292 [ACK] Seq=13465 Ack=46 Win=256 Len=0"
"53","11:47:53.858785911","PcsCompu_60:73:28","Broadcast","ARP","60","Who has 10.10.5.13? Tell 10.10.5.11"
"54","11:47:53.858786443","PcsCompu_60:73:28","Broadcast","ARP","60","Who has 10.10.5.14? Tell 10.10.5.11"
"55","11:47:53.858919015","PcsCompu_c8:46:cd","PcsCompu_60:73:28","ARP","60","10.10.5.13 is at 08:00:27:c8:46:cd"
"56","11:47:53.858919184","PcsCompu_90:18:5a","PcsCompu_60:73:28","ARP","60","10.10.5.14 is at 08:00:27:90:18:5a"
"57","11:47:53.859049011","10.10.5.11","10.10.5.13","TCP","60","49209  >  2869 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"58","11:47:53.859049099","10.10.5.11","10.10.5.14","TCP","60","49207  >  2869 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"59","11:47:56.228342974","10.10.5.13","10.10.5.10","TCP","4552","49196  >  1293 [PSH, ACK] Seq=9145 Ack=31 Win=256 Len=4498"
"60","11:47:56.228398819","10.10.5.10","10.10.5.13","TCP","54","1293  >  49196 [ACK] Seq=31 Ack=13643 Win=501 Len=0"
"61","11:47:56.228623407","10.10.5.10","10.10.5.13","TCP","69","1293  >  49196 [PSH, ACK] Seq=31 Ack=13643 Win=501 Len=15"
"62","11:47:56.420456608","10.10.5.13","10.10.5.10","TCP","60","49196  >  1293 [ACK] Seq=13643 Ack=46 Win=256 Len=0"
