"No.","Time","Source","SrcPort","Destination","DestPort","Protocol","Length","Info","test"
"1","2021-07-20 20:22:53.769959146","PcsCompu_df:63:fa","","Broadcast","","ARP","42","Who has 91.189.94.4? Tell 10.10.5.10","Broadcast"
"2","2021-07-20 20:22:53.786987472","10.10.5.11","138","10.10.5.255","138","BROWSER","220","Become Backup Browser","10.10.5.255"
"3","2021-07-20 20:22:54.800841292","PcsCompu_df:63:fa","","Broadcast","","ARP","42","Who has 91.189.94.4? Tell 10.10.5.10","Broadcast"
"4","2021-07-20 20:22:55.825084661","PcsCompu_df:63:fa","","Broadcast","","ARP","42","Who has 91.189.94.4? Tell 10.10.5.10","Broadcast"
"5","2021-07-20 20:22:59.291638787","PcsCompu_90:18:5a","","Broadcast","","ARP","60","Who has 10.10.5.11? Tell 10.10.5.14","Broadcast"
"6","2021-07-20 20:22:59.291755783","PcsCompu_60:73:28","","PcsCompu_90:18:5a","","ARP","60","10.10.5.11 is at 08:00:27:60:73:28","PcsCompu_90:18:5a"
"7","2021-07-20 20:22:59.291926274","10.10.5.14","2869","10.10.5.11","49301","TCP","60","2869  >  49301 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","10.10.5.11"
"8","2021-07-20 20:22:59.646618861","fe80::6d8e:576d:50b5:128b","","ff02::1:ffcc:19c9","","ICMPv6","86","Neighbor Solicitation for fe80::3c1a:e462:6dcc:19c9 from 08:00:27:60:73:28","ff02::1:ffcc:19c9"
"9","2021-07-20 20:22:59.646619226","fe80::6d8e:576d:50b5:128b","","ff02::1:ffff:9ac8","","ICMPv6","86","Neighbor Solicitation for fe80::6407:7b6:e2ff:9ac8 from 08:00:27:60:73:28","ff02::1:ffff:9ac8"
"10","2021-07-20 20:22:59.646751189","PcsCompu_60:73:28","","Broadcast","","ARP","60","Who has 10.10.5.12? Tell 10.10.5.11","Broadcast"
"11","2021-07-20 20:22:59.647008716","PcsCompu_60:73:28","","Broadcast","","ARP","60","Who has 10.10.5.14? Tell 10.10.5.11","Broadcast"
"12","2021-07-20 20:22:59.647008852","fe80::3c1a:e462:6dcc:19c9","","ff02::1:ffb5:128b","","ICMPv6","86","Neighbor Solicitation for fe80::6d8e:576d:50b5:128b from 08:00:27:90:18:5a","ff02::1:ffb5:128b"
"13","2021-07-20 20:22:59.647008877","PcsCompu_90:18:5a","","PcsCompu_60:73:28","","ARP","60","10.10.5.14 is at 08:00:27:90:18:5a","PcsCompu_60:73:28"
"14","2021-07-20 20:22:59.647008903","fe80::6407:7b6:e2ff:9ac8","","ff02::1:ffb5:128b","","ICMPv6","86","Neighbor Solicitation for fe80::6d8e:576d:50b5:128b from 08:00:27:c8:46:cd","ff02::1:ffb5:128b"
